player_id,full_name,college,hometown,height,jersey_number,headshot_image,pro_experience,player_positions,team
400,Taya Beller,Wayne State College,"Lindsay, Nebraska",6'2,10,https://provolleyball.com/imgproxy/U7l56-ZPqs_GlIvL7FYTjuME5gOZHCyptAF3tfrrETc/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8xMi8yMC84OTZkZjBlMi0zMjRjLTRjMTItYjQ5NS1mN2IzNWUyNjM4MjYuanBn.jpg,,Middle Blocker,Atlanta Vibe
142,Whitney Bower,BYU,"Nampa, Idaho",5'7,14,https://provolleyball.com/imgproxy/TVvI9t1jaJ17bCZWvr5yzl7p6Y-j_4M_SrrQPtuZI7o/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wNi8yNi9lNTNjYjFiOC1lM2Q2LTQ1YzYtYTU3Yy1lN2YwNTFjYmQ5MWEucG5n.png,,Setter,Atlanta Vibe
281,Anna Dixon,"Florida, Mizzou","Louisburg, Kansas",6'3,24,https://provolleyball.com/imgproxy/HQ1xMJkWULI_dJW9QEP17jRjCZ62TFf73cXNP0hA834/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wNy8wOS9kODZkZWJhNC02ODlmLTRmNWEtYjIxMC03YTIxMjE5MzZhY2Yud2VicA.webp,,Outside Hitter,Atlanta Vibe
6,Leah Edmond,Kentucky,"Lexington, Kentucky",6'2,13,https://provolleyball.com/imgproxy/0cvqBHNtNOlYe5xNeVKgGLFNpiQglUg-ioRpzdFXtWA/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMS8yNC8zODIwOGUxZi1jYWE5LTQ1YzYtODZkNy04MDJlYzYxOWYyYjAuanBn.jpg,,Outside Hitter,Atlanta Vibe
148,Kacie Evans,Georgia,"Wadsworth, Ohio",5'11,23,https://provolleyball.com/imgproxy/1UcMLJdQXpgSkZpfHQcKXCcPSxWLSxDHk8nbytLC5so/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMS8yNC8xYmIwMzJiZC0zMjE0LTRlNDktYjIwMS0xNTdjMWRhZjA5MjAuanBn.jpg,,Outside Hitter,Atlanta Vibe
14,Shelly Fanning,Baylor,"Cypress, Texas",6'2,3,https://provolleyball.com/imgproxy/WxhV3yWo7XPmeTtB0j34txkrFuEMnLKiwb3Wb5vmVT4/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMS8yNC81ODQyOTNjYS04ODczLTRmMzktYmQ1YS0zMmU0MDI1NWEwMWUuanBn.jpg,,Middle Blocker,Atlanta Vibe
405,Taylor Head,Florida State/Arkansas,"Winter Garden, Florida",5'10,1,https://provolleyball.com/imgproxy/r3qW5hLGQIKZE6LbKE73G7K-jFb01OavBxiOgiisZVU/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8xMi8yOC8zYTg4ZjJjYi03YzEyLTRkM2EtOTNjMC1mY2E4ZmQ5NzkwYWMuanBn.jpg,,Outside Hitter,Atlanta Vibe
7,Morgan Hentz,Stanford,"Lakeside Park, Kentucky",5'9,9,https://provolleyball.com/imgproxy/yhGWfKVHbK_53iGMzPy-8B18i5aT2tkWrKFhevkxEUs/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMS8yNC8yNmE0YWRlZC1mOGZjLTRjYmEtYmYxOC0zMzFmMzU5ODQ2ZWMuanBn.jpg,,Libero,Atlanta Vibe
398,Madolyn Isringhausen,Tennessee Tech,"Edwardsville, Illinois",5'11,20,https://provolleyball.com/imgproxy/9LvtpiJz2qH0GabS_Zmz7VfzkjJg_3aD4IJczKaldhQ/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8xMi8xMi82NWI3YThlMy05Zjc3LTQyMDItOGY3Yy00YThiZDc4ODQzM2MuanBn.jpg,,Outside Hitter,Atlanta Vibe
276,Aiko Jones,Louisville,"Kingston, Jamaica",6'2,15,https://provolleyball.com/imgproxy/ZVinqftPaaaYc6IOIbaJAXy2A-mR7JU6Yo6xPrf2AB0/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wNy8wMS9jNGEyNGM4MC1lMDJiLTRjZjctOWEyYy1kODY4ZGZkZTNjMjAud2VicA.webp,,Opposite Hitter,Atlanta Vibe
399,Khori Louis,Florida State,"Tallahassee, Florida",6'3,22,https://provolleyball.com/imgproxy/bKFX8VeOW2mOOYORC4XYj_sK4NaHVofDcLqMwxBCEak/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8xMi8xMy84MmVlYjRmNC00Yzc0LTQyYzktYTdjZi03MTQ2YTk2NzliMDIuanBn.jpg,,Middle Blocker,Atlanta Vibe
11,Marlie Monserez,"Florida, UCLA","Windermere, Florida",6'0,21,https://provolleyball.com/imgproxy/tNoJJaKsIj4JoAAVOh8U1_o84D91UsDk7A204RRh-Gc/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMS8yNC9mYjQ5Yzk2Ny00NWJkLTRjMjMtYTU5MS00MGIwZjBlMzNhYTkuanBn.jpg,,Setter,Atlanta Vibe
24,Jenna Rosenthal,Marquette,"Fond du Lac, Wisconsin",6'6,16,https://provolleyball.com/imgproxy/ohYw_GmBRIoYeslDBCBxAqR0X5rXiVE5Bn2KJb8bAZQ/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMy8xOC9lZmMwM2MyNC0zNjA5LTQxNjYtOTk1Yi1iYWY3YmQ1NjE1ZjkucG5n.png,,Middle Blocker,Atlanta Vibe
277,Pia Timmer,Washington State,"Nordhorn, Germany",6'2,7,https://provolleyball.com/imgproxy/4tXgrd7yrlntoW64PMg-9HpeMsfoBxHt6SwvPPeFhr0/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wNy8wMS8wNmNjZGZmZC1mZTk3LTQyNmQtYjU2NS1kNTY4ZTZhMzVjMjQud2VicA.webp,,Outside Hitter,Atlanta Vibe
404,Mia Tuaniga,University of Southern California,"Long Beach, California",5'9,91,https://provolleyball.com/imgproxy/wyzFGUF7Z4lPujPjlKwPMmSmC3VTeiej784RsXiir2I/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8xMi8yOC9jZjRmNGQ0Mi00MDAxLTQ4NjgtOGU5Zi03Nzg5ZWYxOTk2NDYuanBn.jpg,,Setter,Atlanta Vibe
267,McKenna Vicini,,"Lexington, KY",6'2,12,https://provolleyball.com/imgproxy/o8MqQPgsf4-mhL4_l48SyXiocpF060AxZHs9EFgx6bY/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wNC8yNS9lYjQzMzY4Yi1hZTdjLTRlNmMtYjVkNC01NDJjNzg1ZTk2ODIucG5n.png,,Middle Blocker,Atlanta Vibe
97,Karis Watson,Clemson,"Rock Hill, South Carolina",6'2,16,https://provolleyball.com/imgproxy/5rvqAPeg5XSjagC3aoFcI4D0K2UDeDZrWJc85WEcwjY/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMS8yNC8xYWM5Y2RmMy02NTU4LTQzMGEtOWVmZi01OWUxMWFlMWRlMDYuanBn.jpg,,Middle Blocker,Atlanta Vibe
56,Paula Cerame,Indiana,"San Juan, Puerto Rico",5'8,20,https://provolleyball.com/imgproxy/KYYZexUyMsQJXrR9oLd-7K0eKTWbCQHkpHUwpxARwTc/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMS8yMy80N2ZkNzVlNS0zZDVmLTQ1YTUtOTEyMi0xODUwYjIzZDNmODYuanBn.jpg,,Libero,Columbus Fury
90,Megan Courtney-Lush,Penn State,"Kettering, Ohio",6'1,17,https://provolleyball.com/imgproxy/EFv1HeZ5NbdksBmkQW_AwDl-_uzEDGBhusr2ngm2vC0/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMS8xOS8yZGFjMjgyMi1kNmI4LTQ3NTktYmUwZi0zNDljMDg3OWI3OWQucG5n.png,,Outside Hitter,Columbus Fury
323,Beta Dumančić,Clemson,"Osijik, Croatia",6'2,nan,https://provolleyball.com/imgproxy/9WAaEKM9d8HgMo3n4KpihmjQD5YvpWqLntpXQaTrV1M/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8xMC8xMC81NTU1ZDZhYi0xMWYxLTRiZDEtYTY2ZC05ODcyZmFjZWE2YjcucG5n.png,,Middle Blocker,Columbus Fury
220,Jill Gillen,Arkansas,"Stilwell, Kan.",5'7,10,https://provolleyball.com/imgproxy/RTipv0KtmqHEceK9_Ql98NbCfHCCjOjn_BqZ9DWK3U8/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMS8yMy8zZDgzNTcwZS1hNGQyLTQ0ZjktODUyYS1kY2Y0NDkwMmY2NTIuanBn.jpg,,Outside Hitter,Columbus Fury
280,Janice Leao,Miami,"New Bedford, Mass.",6'3,nan,https://provolleyball.com/imgproxy/dIAXq3Zj2_uyECD-DiBCFIVGaRVQ_w_RQDK4v1FjX90/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wNy8wNS8wY2FjM2ZlNi00NjE3LTQ2MjEtOTNjOC1iZjI4OTU0YjY5ZDkuanBn.jpg,,Middle Blocker,Columbus Fury
216,Morgan Lewis,Oregon,"Carlsbad, CA",6'3,30,https://provolleyball.com/imgproxy/EwQPpw6lnBKcwIgmGDeX8RDy7If8qEvjA3GdTqUZmGc/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMS8zMS82ZWY2NzBiNi1lNjlmLTRhN2YtOGNmNi1hOWZlNDdiNzQ5MTQucG5n.png,,Opposite Hitter,Columbus Fury
282,Kaley Rammelsberg,Indiana,"Westerville, Ohio",6'2,nan,https://provolleyball.com/imgproxy/SiixtFFHqR_ygJfWp7Qx6m0q-iSWT-P39YWpAEBKjeA/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wNy8xMC8yYTg1MGMzYy04MjIxLTRlMzAtYTE5My03ODgwMjE2MjNjMzEuanBn.jpg,,Middle Blocker,Columbus Fury
63,Wilma Rivera,Louisville,"Carolina, Puerto Rico",5'8,12,https://provolleyball.com/imgproxy/SaV0xPduCQtZStSCxoZ5IzEaOtU7VZBaOl4Hh7bOz_g/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMS8yMy82ZDcyNTViYS0zNjQ3LTQzOTEtYWNjNS0wYTY0OGM1MDI0ZTIuanBn.jpg,,Setter,Columbus Fury
5,Tori Stringer,Louisville,"Los Gatos, California",5'11,12,https://provolleyball.com/imgproxy/wQu2l3fIfUYM8VZOkiRL4PWQFUIFX7sfBIG8qMBR8hc/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wNC8yOC9kYjE5Yjc4OS00YTA3LTQ3MGQtODc4NS04YWYyNDhkNDg1ODkucG5n.png,,Setter,Columbus Fury
27,Symone Abbott,Northwestern,"Northville, Michigan",6'1,27,https://provolleyball.com/imgproxy/-Yn1kgrespXkgSp26Qg6COrd4kThewUH7HQI4jEZef4/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMi8xOC8wNzQwMjQ4OC0yNWM0LTQxZmEtOWRmZC0wNjM1MTMwMjc0ZTAuanBn.jpg,,Outside Hitter,Grand Rapids Rise
275,Sherridan Atkinson,"Purdue, Long Beach State","Long Beach, California",6'5,nan,https://provolleyball.com/imgproxy/D6y6tpw12T9ypfE8CAbnxQkt0Xmnma4JoT7U1I3X7Vo/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wNy8wMi9mZmEwNTU5NC1hNjQ4LTRjYmMtOWVhZC1lYjczZDhjNjFlODYucG5n.png,,Opposite Hitter,Grand Rapids Rise
2,Ali Bastianelli,Illinois,"Marysville, Michigan",6'3,10,https://provolleyball.com/imgproxy/9EF1PA5-gDAccATU16wvclXO1YwVkk7C9o-f0PU2evY/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMS8zMS8wNDdhMmQzOS0wOTA0LTQ3ODEtYTQ4ZS0xMTI3Y2I5MTU1MzUucG5n.png,,Middle Blocker,Grand Rapids Rise
147,Paige Briggs-Romine,Western Kentucky,"Ortonville, Michigan",5'10,13,https://provolleyball.com/imgproxy/YqiOxIPJ_1CziKvfB2UBKlKAGiq086_Slcgsc_9QuG0/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMS8xNS8wYjY0YTE4Ni03NThiLTRiZTgtOTA2Yy0xOTljODlmOTQxOGYuanBn.jpg,,Outside Hitter,Grand Rapids Rise
35,Marin Grote,Washington,"Burbank, California",6'4,8,https://provolleyball.com/imgproxy/1Qc94UpUsbEc4K4XH-SGkb27kU8HxAH9j1uambc4PJs/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMi8xOC80ZDllMGFiNC00OGEyLTRlMzEtOWI5YS04YTllMGZiYzJjNDAuanBn.jpg,,Middle Blocker,Grand Rapids Rise
32,Alyssa Jensen,Michigan State,"Holland, Michigan",6'4,17,https://provolleyball.com/imgproxy/XXzPscTn8yAy1Z_IrZIHQXYVprkXiEUDZQohAbgM_zk/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMi8xOC9jZjMzMDYzNi02NDUyLTRjZWMtYWYzNS0zMzAxMzYxZGZmMjMuanBn.jpg,,Middle Blocker,Grand Rapids Rise
20,Valeria Leon,Ohio State,"Ponce, Puerto Rico",5'6,3,https://provolleyball.com/imgproxy/UbV_AG6H99RTmIxKeqrTIgBUggOmWQfAJI_Qn2ysMTk/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMS8xOS84NmZmNDM2OC04ZDdlLTRlZTgtODg1NC0xYThkODg2ZTM2OTYucG5n.png,,Libero,Grand Rapids Rise
395,Kaleigh Nelson,Washington,"Salem, Ore.",6'0,6,https://provolleyball.com/imgproxy/AWR_gqvvsL2OXtrHeuto_ZiJ7PrjRvu6-XNJtjstnzQ/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8xMi8xMC82ZWYwNDFiOS1lMDRmLTQwNDQtYTVkZi01Yzg3ZTcyYjE1ZDQuSlBH.jpg,,Opposite Hitter,Grand Rapids Rise
319,Jena Otec,Purdue,"Crystal City, MO",5'10,nan,https://provolleyball.com/imgproxy/MFFG6GRMiD2AvXoLVaFQpRtZ_uGFchqFsUc3x-ckDDM/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wNy8yMi8xZDNkMTM0OS1jODQyLTRmMTktODJmYi02NDZkMDlhOTlkZTcud2VicA.webp,,Libero,Grand Rapids Rise
36,Erika Pritchard,"Penn State, Maryland","Frederick, Maryland",6'3,5,https://provolleyball.com/imgproxy/i_t33eufbD_82gMP7enu7lkOtnWBhJDrRHx15-WDSbQ/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMi8xOC9mNWE1NmJkZi0xNTE2LTQ2OTMtOWUxMS01Y2E1OThkYjNjNzIuanBn.jpg,,Outside Hitter,Grand Rapids Rise
